price_date,ticker,last_price
20/02/2018,VIX Index,20.6
19/02/2018,VIX Index,20.03
16/02/2018,VIX Index,19.46
15/02/2018,VIX Index,19.13
14/02/2018,VIX Index,19.26
13/02/2018,VIX Index,24.97
12/02/2018,VIX Index,25.61
09/02/2018,VIX Index,29.06
08/02/2018,VIX Index,33.46
07/02/2018,VIX Index,27.73
06/02/2018,VIX Index,29.98
05/02/2018,VIX Index,37.32
02/02/2018,VIX Index,17.31
01/02/2018,VIX Index,13.47
31/01/2018,VIX Index,13.54
30/01/2018,VIX Index,14.79
29/01/2018,VIX Index,13.84
26/01/2018,VIX Index,11.08
25/01/2018,VIX Index,11.58
24/01/2018,VIX Index,11.47
23/01/2018,VIX Index,11.1
22/01/2018,VIX Index,11.03
19/01/2018,VIX Index,11.27
18/01/2018,VIX Index,12.22
17/01/2018,VIX Index,11.91
16/01/2018,VIX Index,11.66
15/01/2018,VIX Index,10.91
12/01/2018,VIX Index,10.16
11/01/2018,VIX Index,9.88
10/01/2018,VIX Index,9.82
09/01/2018,VIX Index,10.08
08/01/2018,VIX Index,9.52
05/01/2018,VIX Index,9.22
04/01/2018,VIX Index,9.22
03/01/2018,VIX Index,9.15
02/01/2018,VIX Index,9.77
29/12/2017,VIX Index,11.04
28/12/2017,VIX Index,10.18
27/12/2017,VIX Index,10.47
26/12/2017,VIX Index,10.25
22/12/2017,VIX Index,9.9
21/12/2017,VIX Index,9.62
20/12/2017,VIX Index,9.72
19/12/2017,VIX Index,10.03
18/12/2017,VIX Index,9.53
15/12/2017,VIX Index,9.42
14/12/2017,VIX Index,10.49
13/12/2017,VIX Index,10.18
12/12/2017,VIX Index,9.92
11/12/2017,VIX Index,9.34
08/12/2017,VIX Index,9.58
07/12/2017,VIX Index,10.16
06/12/2017,VIX Index,11.02
05/12/2017,VIX Index,11.33
04/12/2017,VIX Index,11.68
01/12/2017,VIX Index,11.43
30/11/2017,VIX Index,11.28
29/11/2017,VIX Index,10.7
28/11/2017,VIX Index,10.03
27/11/2017,VIX Index,9.87
24/11/2017,VIX Index,9.67
23/11/2017,VIX Index,9.775
22/11/2017,VIX Index,9.88
21/11/2017,VIX Index,9.73
20/11/2017,VIX Index,10.65
17/11/2017,VIX Index,11.43
16/11/2017,VIX Index,11.76
15/11/2017,VIX Index,13.13
14/11/2017,VIX Index,11.59
13/11/2017,VIX Index,11.5
10/11/2017,VIX Index,11.29
09/11/2017,VIX Index,10.5
08/11/2017,VIX Index,9.78
07/11/2017,VIX Index,9.89
06/11/2017,VIX Index,9.4
03/11/2017,VIX Index,9.14
02/11/2017,VIX Index,9.93
01/11/2017,VIX Index,10.2
31/10/2017,VIX Index,10.18
30/10/2017,VIX Index,10.5
27/10/2017,VIX Index,9.8
26/10/2017,VIX Index,11.3
25/10/2017,VIX Index,11.23
24/10/2017,VIX Index,11.16
23/10/2017,VIX Index,11.07
20/10/2017,VIX Index,9.97
19/10/2017,VIX Index,10.05
18/10/2017,VIX Index,10.07
17/10/2017,VIX Index,10.31
16/10/2017,VIX Index,9.91
13/10/2017,VIX Index,9.61
12/10/2017,VIX Index,9.91
11/10/2017,VIX Index,9.85
10/10/2017,VIX Index,10.08
09/10/2017,VIX Index,10.33
06/10/2017,VIX Index,9.65
05/10/2017,VIX Index,9.19
04/10/2017,VIX Index,9.63
03/10/2017,VIX Index,9.51
02/10/2017,VIX Index,9.45
29/09/2017,VIX Index,9.51
28/09/2017,VIX Index,9.55
27/09/2017,VIX Index,9.87
26/09/2017,VIX Index,10.17
25/09/2017,VIX Index,10.21
22/09/2017,VIX Index,9.59
21/09/2017,VIX Index,9.67
20/09/2017,VIX Index,9.78
19/09/2017,VIX Index,10.18
18/09/2017,VIX Index,10.15
15/09/2017,VIX Index,10.17
14/09/2017,VIX Index,10.44
13/09/2017,VIX Index,10.5
12/09/2017,VIX Index,10.58
11/09/2017,VIX Index,10.73
08/09/2017,VIX Index,12.12
07/09/2017,VIX Index,11.55
06/09/2017,VIX Index,11.63
05/09/2017,VIX Index,12.23
04/09/2017,VIX Index,11.18
01/09/2017,VIX Index,10.13
31/08/2017,VIX Index,10.59
30/08/2017,VIX Index,11.22
29/08/2017,VIX Index,11.7
28/08/2017,VIX Index,11.32
25/08/2017,VIX Index,11.28
24/08/2017,VIX Index,12.23
23/08/2017,VIX Index,12.25
22/08/2017,VIX Index,11.35
21/08/2017,VIX Index,13.19
18/08/2017,VIX Index,14.26
17/08/2017,VIX Index,15.55
16/08/2017,VIX Index,11.74
15/08/2017,VIX Index,12.04
14/08/2017,VIX Index,12.33
11/08/2017,VIX Index,15.51
10/08/2017,VIX Index,16.04
09/08/2017,VIX Index,11.11
08/08/2017,VIX Index,10.96
07/08/2017,VIX Index,9.93
04/08/2017,VIX Index,10.03
03/08/2017,VIX Index,10.44
02/08/2017,VIX Index,10.28
01/08/2017,VIX Index,10.09
31/07/2017,VIX Index,10.26
